"","Site","Treatment","Date","CoVariate","Genus_sp","counts","Genus","species"
"1","A","t1",2014-03-01,0.094908377,"Genus_species1",34,"Genus2","species1"
"2","B","t1",2014-03-01,0.709475629,"Genus_species1",3,"Genus2","species1"
"3","C","t1",2014-03-01,0.790470763,"Genus_species1",24,"Genus2","species1"
"4","A","t1",2014-03-10,0.973471218,"Genus_species1",48,"Genus2","species1"
"5","B","t1",2014-03-10,0.527095676,"Genus_species1",26,"Genus2","species1"
"6","C","t1",2014-03-10,0.555124325,"Genus_species1",47,"Genus2","species1"
"7","A","t1",2014-03-20,0.717515678,"Genus_species1",9,"Genus2","species1"
"8","B","t1",2014-03-20,0.278946669,"Genus_species1",62,"Genus2","species1"
"9","C","t1",2014-03-20,0.246075887,"Genus_species1",35,"Genus2","species1"
"10","A","t2",2014-03-01,0.84003337,"Genus_species1",8,"Genus2","species1"
"11","B","t2",2014-03-01,0.21261837,"Genus_species1",84,"Genus2","species1"
"12","C","t2",2014-03-01,0.521603221,"Genus_species1",16,"Genus2","species1"
"13","A","t2",2014-03-10,0.893642324,"Genus_species1",9,"Genus2","species1"
"14","B","t2",2014-03-10,0.396347525,"Genus_species1",82,"Genus2","species1"
"15","C","t2",2014-03-10,0.486592311,"Genus_species1",4,"Genus2","species1"
"16","A","t2",2014-03-20,0.43746716,"Genus_species1",71,"Genus2","species1"
"17","B","t2",2014-03-20,0.24226281,"Genus_species1",86,"Genus2","species1"
"18","C","t2",2014-03-20,0.30355642,"Genus_species1",16,"Genus2","species1"
"19","A","t3",2014-03-01,0.677370009,"Genus_species1",23,"Genus2","species1"
"20","B","t3",2014-03-01,0.308343936,"Genus_species1",NA,"Genus2","species1"
"21","C","t3",2014-03-01,0.310056235,"Genus_species1",17,"Genus2","species1"
"22","A","t3",2014-03-10,0.134521286,"Genus_species1",21,"Genus2","species1"
"23","B","t3",2014-03-10,0.467969675,"Genus_species1",97,"Genus2","species1"
"24","C","t3",2014-03-10,0.060903516,"Genus_species1",28,"Genus2","species1"
"25","A","t3",2014-03-20,0.906462265,"Genus_species1",56,"Genus2","species1"
"26","B","t3",2014-03-20,0.010874136,"Genus_species1",5,"Genus2","species1"
"27","C","t3",2014-03-20,0.24300409,"Genus_species1",32,"Genus2","species1"
"28","A","t4",2014-03-01,0.014303797,"Genus_species1",11,"Genus2","species1"
"29","B","t4",2014-03-01,NA,"Genus_species1",94,"Genus2","species1"
"30","C","t4",2014-03-01,0.21366758,"Genus_species1",50,"Genus2","species1"
