Site ,Treatment,Date,CoVariate,Genus species1,Genus species2,Genus species3,Genus species4,Genus Species5,Genus2 species6,Genus species7,Genus2 species8,Genus species9,Genus2 species10,Genus species11,Genus3 species12,,,,,,,,,,,,,,,
A,t1,01/03/2014,0.094908377,34,73,32,68,23,27,36,2,52,47,68,71,,,,,,,,,,,,,,,
B,t1,01/03/2014,0.709475629,3,7,92,99,98,9,6,65,100,76,14,91,,,,,,,,,,,,,,,
C,t1,01/03/2014,0.790470763,24,92,52,58,60,93,54,16,82,96,78,41,,,,,,,,,,,,,,,
A,t1,10/03/2014,0.973471218,48,7,9,97,53,78,0,41,56,10,45,13,,,,,,,,,,,,,,,
B,t 1,10/03/2014,0.527095676,26,87,9,95,89,15,12,49,87,78,35,6,,,,,,,,,,,,,,,
C,t1,10/03/2014,0.555124325,47,91,43,16,5,51,24,0,72,16,46,0,,,,,,,,,,,,,,,
A,t1,20/03/2014,0.717515678,9,68,73,59,9,10,83,5,14,42,97,15,,,,,,,,,,,,,,,
B,t1,20/03/2014,0.278946669,62,59,NA,49,88,8,12,36,5,10,11,89,,,,,,,,,,,,,,,
C,t1,20/03/2014,0.246075887,35,54,56,7,94,7,8.8,78,2,92,39,33,,,,,,,,,,,,,,,
A,t2,01/03/2014,0.84003337,8,17,23,18,96,79,47,35,33,24,21,46,,,,,,,,,,,,,,,
B,t2,01/03/2014,0.21261837,84,12,45,39,77,10,86,36,14,54,12,81,,,,,,,,,,,,,,,
C,t2 ,01/03/2014,0.521603221,16,2,11,32,45,11,42,54,75,15,8,53,,,,,,,,,,,,,,,
A,t2,10/03/2014,0.893642324,9,15,7,52,47,5,6 (+1),61,17,55,36,22,,,,,,,,,,,,,,,
D,t2,10/03/2014,0.396347525,82,21,53,9,19 ,8,50,77,13,87,0,49,,,,,,,,,,,,,,,
C,t2,10/03/2014,0.486592311,4,30,75,34,70,0,40,47,83,56,32,38,,,,,,,,,,,,,,,
A,t2,20/03/2014,0.43746716,71,3,3,43,70,7.0,60,10,71,45,97,67,,,,,,,,,,,,,,,
B,t2,20/03/2014,0.24226281,86,33,42,86,10033,23,16,7,48,15,0,4,,,,,,,,,,,,,,,
C,t2,20/03/2014,0.30355642,16,68,60,92,15,22,90,60,13,29,32,57,,,,,,,,,,,,,,,
A,t3,01/03/2014,0.677370009,23,69,38,37,28,36,11,58,51,52,21,81,,,,,,,,,,,,,,,
B,t3,01/03/2014,0.308343936,NA,88,37,87,62,4,71,85,10,24,65,45,,,,,,,,,,,,,,,
C,t3,01/03/2014,0.310056235,17,65,95,86,18,0,44,57,46,1,76,85,,,,,,,,,,,,,,,
A,t3,10/03/2014,0.134521286,21,44,33,19,NA,6,5,3,38,28,46,28,,,,,,,,,,,,,,,
B(edge),t3,10/03/2014,0.467969675,97,79,2,6,3,3,0,2,90,16,5,98,,,,,,,,,,,,,,,
C,t3,10/03/2014,0.060903516,28, 58,39,28,12,6,22,43,66,23,9 or 4,93,,,,,,,,,,,,,,,
A,t3,20/03/2014,0.906462265,56,63,65,56,51,30,88,55,51,22,99,74,,,,,,,,,,,,,,,
B, t3,20/03/2014,0.010874136,5,83,48,58,65,33,13,77,56,64,32,90,,,,,,,,,,,,,,,
C,t3,20/03/2014,0.24300409,32,NA,59,6,63,23,69,85,41,75,63,36,,,,,,,,,,,,,,,
A,t4,01/03/2014,0.014303797,11,54,0,53,14,61,72,3,34,95,59,75,,,,,,,,,,,,,,,
B,t4,01/03/2014,no data,94,19,-3,80,28,27,13,4,99,78,42,20,,,,,,,,,,,,,,,
C,t4,01/03/2014,0.21366758,50,11,20,15,0,93,57,31,88,360,60,75,,,,,,,,,,,,,,,
A,t4,10/03/2014,0.439723332,33,5,52,74,58,14,92,25,95,43,33,72,,,,,,,,,,,,,,,
B,t4,10/03/2014,0.359221985,52,40,41,5,60,71,64,33,81,93,18,18,,,,,,,,,,,,,,,
C,t4,10/03/2014,0.843256329,91,95,0,5,92,77,69,14,0,19,13,9 ,,,,,,,,,,,,,,,
A,t4,20/03/2014,0.135976428,33,7,54,18,28,95,37,90,35,65,45,23,,,,,,,,,,,,,,,
B,t4,20/03/2014,0.449035328,49,66,87,49,62,24,89,22,3,24,0,66,,,,,,,,,,,,,,,
C,t4,20/03/2014,0.497186568,90,61,27,37,60,24,68,62,97,23,39,47,,,,,,,,,,,,,,,
